"akimid; akim; akimaciklama"
1; Agnostisizm; Agnostisizm (Türkçede bazen bilinemezcilik de denir), en yaygın ve bilinen tanımıyla, tanrı veya tanrısal varlıkların bilinemez veya varlığı ile birlikte yokluğunun da kanıtlanamaz olduğunu savunan bir felsefi görüştür. Agnostik düşünce, agnostik teizm ve agnostik ateizm örneklerinde olduğu gibi farklı felsefi düşüncelerle iç içe geçebilir. Bununla birlikte agnostik felsefe varsayımların, özellikle tanrı gibi daha yüksek bir otoritenin varlığına veya yokluğuna ilişkin teolojik varsayımların bilimsel olarak hiçbir zaman açıklanamayacağı görüşündedir. Bu fikir akımının destekçilerine agnostik (veya bilinemezci) denir. Agnostisizm kendi içinde de farklı görüşlere ayrılır. Bilinen tanımların birincisi, "Tanrı'nın ve ruhani, metafizik ve doğaüstü bir varlığın veya varlıkların bilimsel olarak hiçbir zaman kanıtlanamayacağını ve gözlemlenemedikleri için hiçbir zaman bilinemeyeceğini savunan bir görüştür." şeklindeyken ikincisi, "İnsan aklının, Tanrı'nın var olduğu inancının öğretisidir".
2; Akılcılık; Akılcılık, bilginin kaynağının akıl olduğunu, doğru bilginin ancak akıl ve düşünce ile elde edilebileceği tezini savunan felsefi yaklaşıma verilen isimdir. Buna göre, kesin ve evrensel bilgilere ancak akıl aracılığıyla ve tümdengelimli bir yöntemsel yaklaşımla ulaşılabilir. Dünya hakkındaki önemli olan bilginin yalnızca deney ötesi yöntemlerle elde edilebileceğini savunur. Akılcılık her bireyin eşit ve değişmez ussal ve mantıksal ilkelere sahip olduğunun varsayımı ile, çeşitli "a priori" ve apaçık gerçeklerin varolduğunu onaylar. Son zamanlarda, çeşitli dilbilimcilerin bazı dilbilim kavramları hakkındaki yazıları haricinde, "a priori" bilginin varlığı sıklıkla reddedilmiş, kabul edilse dahi etki alanı ve konumu daraltılmıştır.
3; Analitik Felsefe; Analitik felsefe, felsefenin ana işlevinin analiz olması gerektiğini öne süren felsefe geleneğidir. Ezici çoğunlukla Anglosfer ve İskandinav dünyasında yaygındır. Kıta felsefesi ile birlikte, çağdaş felsefede ön planda olan iki gelenekten biridir. Nadir bir kullanım olsa da, çözümleyici felsefe ismiyle de bilinir. Felsefe yaparken kullandıkları dilin analizine ve öne sürdükleri argümanların açık ve titiz olmasına önem göstermeleri, argümanlarını öne sürerken formel mantık ile matematik kullanmaları ve doğa bilimlerinden elde edilen verilerden yararlanmaları, analitik filozofların ayırt edici özelliklerindendir. Analitik felsefenin ortaya çıkışında, Frege'nin mantık üzerine olan çalışmaları ile Moore ve Russell'ın İngiliz idealizmine karşı yaptıkları eleştiriler etkili olmuştur. Gelenek içinde, ideal dil felsefesi, mantıksal atomculuk, mantıksal pozitivizm ve gündelik dil felsefesi gibi akımlar ortaya çıkmıştır. Yukarıda ismi geçen kurucu kişilere ek olarak, diğer önemli analitik filozoflar arasında, Wittgenstein, Carnap, Ayer, Anscombe, Quine, Austin, Davidson, Armstrong, Lewis, Searle, Popper, Kuhn, Rawls, Kripke ve Plantinga'nın isimleri anılabilir.
4; Anarşizm; Anarşizm, (Antik Yunanca'da an "-sız olumsuzluk eki" ve archos "yönetici" sözcüklerinden türetilmiştir, "yöneticisiz" anlamına gelir) toplumsal otoritenin, tahakkümün, erkin ve hiyerarşinin tüm biçimlerini bertaraf etmeyi savunan çeşitli politik felsefeleri ve toplumsal hareketleri tanımlayan sosyal bir terimdir. Anarşizm, her koşulda her türlü otoriteyi reddetmektir. Reddedilen bu otoritelere patriyarki ve kapitalizm de dahildir. Bu hareketler genellikle, merkezi politik yapılar, üretim araçlarının özel mülkiyeti ve ekonomik kurumlar yerine toplumsal ilişkilere dayanan gönüllü etkileşim ve özyönetimi savunur, özgürlük ve otonomi ile karakterize edilen bir toplumu arzular. Bu felsefeler, anarşi terimiyle özgür bireylerin gönüllü etkileşimine dayanan bir toplumu, bireylerin ve toplulukların alınan kararlardan etkilendikleri ölçüde söz sahibi olması düşüncesini ifade eder.
5; Aristotelesçilik; Aristoteles'in orta çağ felsefesinde de çok önemli bir rolü vardır. Aristotelesçiliğin bir biçimi bu tarihsel dönemde şekillenir. Bu dönemde, özellikle de Skolastik felsefe içinde temel dayanak noktası Aristotales felsefesidir. Hristiyan dogmaların felsefe ile temellendirilmesini hedefleyen bu dönem felsefeleri, önemli bir kaynak olarak Aristotales'i bulmuşlardır. Bundan kaynaklı olarak Aristotales denildiğinde aynı zamanda akla Skolastik felsefe gelir. Rönesans felsefesi skolastikle savaşın içinde geliştiğinden dolayı, başlangıçta Aristotales'e tepkili bir tavır geliştirir, ancak bu dönem felsefesi genel olarak antik çağ düşüncesini yeniden değerlendirmeye yöneldiğinden, Aristotales'e tümden yadsınmaz. Rönesans felsefesinin Aristotales'le ilgisi, temel yönelimi olan hümanizm ile bağlantılıdır. Hümanizm öncelikli olarak antik çağ felsefesine ait metinlerin orijinal olarak konulmasını ve öyle değerlendirilmesini hedefler. Orta Çağ felsefesinin bu bakımdan Aristotales'e kattıkları böylece ayıklanmaya çalışılmıştır.
6; Ateizm; Ateizm, tanrının ya da tanrıların varlığına olan inancın yokluğudur. Bu fikre dahil olanlara "ateist" denir. Ateistler, bazı kurumlar ve kişiler tarafından "tanrıtanımaz" olarak isimlendirilmektedir. Ateizm inanç koşullanmalarını, hayalî yaratıkları ve olayları reddeder. Ateist bakış açısıyla tanrının yanı sıra tüm metafizik inançlar ve tüm ruhanî varlıklar da reddedilir. Kelime anlamında da belirtildiği üzere ateizm, din ile ilgili bir kavram değil, tanrı ile ilgili bir kavramdır. Dinlerin varlığı, dinlerin tanımının ne olduğu, dinlerin iyi mi yoksa kötü mü olduğu ateizmin konusu ve tartışma alanı dışındadır. Bu din karşıtlığının tartışma alanıdır. Ateizm, her tür metafiziği reddettiği için, kendini metafizik ögeler üzerinden temellendiren dinlerin metafizik boyutlarını da reddeder. Yani bu, özellikle dinlere karşı sergilenen bir duruş değil, genel olarak tüm metafizik inanışlara karşı bir duruştur.
7; Absüzdizm; Absürdizm, herhangi bir yaratıcı olmadığından insanlığın evrende bir anlam bulmasına yönelik uğraşlarının boşa bir çaba olduğunu ve eninde sonunda bu anlam uğraşının başarısız olacağını söyleyen felsefi düşünce akımıdır. Absürdizm, varoluşçuluk ile bağlantılıdır fakat birbiriyle karıştırılmamalıdır. Absürdizmin kökenleri 19. yüzyıl Danimarkalı filozof Søren Kierkegaard'a dayanır. Albert Camus'nün Sisifos Söyleni'yi yayınlanmasıyla absürdizmin sınırları belirlenmiş ve tam anlamıyla ortaya çıkmıştır. II. Dünya Savaşı sırasında işgal edilen Fransa'da absürdist (saçma, uyumsuz) görüşler yaygınlık kazanmıştır.
8; Acıcılık; Acıcılık veya Dolorizm, acı kavramını yaşamın anlamına, ahlakın ve erdemin merkezine yerleştirerek hazcılık (hedonizm) öğretisinin tam karşısında yer alan fikir birliği. Julien Teppe öncülüğünde kurulan acıcılık öğretisi, insanın özgür ve güçlü bir varlık olarak yaşamını sürdürebilmesi için hazdan uzaklaşıp, acıya katlanması ve onu yüceltmesi gerektiğini öngörür. Kaynağını yoğunlukla kinizm akımından alan acıcılık, Teppe ve arkadaşlarının yayınlamış olduğu Revue Doloriste adlı dergi ile Bir Olağandışılık Savunusu: Acıcılık Manifestosu (1935) ve Acının Buyurganlığı (1936) adlı yapıtlar yoluyla tanınıp yayılmıştır.
9; Adcılık; Adcılık veya nominalizm, kavramların, sözcüklerin, tanımların, tasarımların, hatta konuşulan dillerin gerçek ya da nesnel hiçbir varlığının veya anlamının bulunmadığını öne süren felsefe anlayışı. Bu anlayışa göre, yukarıda sözü geçen, kullandığımız tüm bu sınıflandırıcı semboller insanların onlara yüklediği anlamlar doğrultusunda varlık, anlam ve değer kazanır. Başka bir deyişle tümellerin gerçek olmadığını birer addan ibaret olduklarını öne süren adcılık akımı, gerçekçilik karşıtı felsefe akımıdır. Adcılığa göre tümeller seslerden ibarettir ve bu sesler düşünceleri adlandırmak için kullanılır, onların gerçeklikleri yoktur. Tümellerin yalnızca birer imge ya da simge olarak anlaşılması mümkündür, dolayısıyla da onlara bir gerçeklik atfedilemez.
10; Agnostik Teizm; Agnostik teizm, tanrı veya tanrısal varlıklara inanan ama tanrının olup olmadığına dair bilgiye ulaşmanın mümkün olmadığını, tanrının varlığının bilinemez olduğunu savunan bir felsefi görüştür. Esasen dinsiz bir felsefe olan agnostik teizm, agnostisizm ve teizmi belli özellikleriyle birleştirdiği için bu ismi almıştır. Akıl ve mantığın tanrısal bilgiye ulaşmakta yetersiz kaldığını savunarak deizmden ayrılır. Bu düşünce "bilmek" ve "inanmak" kavramlarının arasındaki farka vurgu yapar. "Bir insanın tanrının varlığını bilemeyiz demesi ama var olduğuna inanması" manasına gelmektedir. Agnostisizm esasen tanrının varlığına dair bilinmezcilik üzerine kurulu olup bir şeye inanmayı veya inanmamayı katı olarak reddetmediği için agnostisizm bazı teistik inanışlarla uyumlu olabilir.
11; Alman İdealizmi; Alman idealizmi, Almanya'da gelişmiş bir felsefi akımıdır. Bu akım 18. yüzyıl'ın sonları ile 19. yüzyıl'ın başları arasında sürmüştür. Alman idealizmi Immanuel Kant'ın 1780'ler ve 1790'lardaki çalışmaları ile gelişmiştir. Akım, romantizm ve Aydınlanma Çağı ile yakından alakalıdır. Bu hareketin önemli düşünürleri Immanuel Kant, Johann Gottlieb Fichte, Friedrich Schelling ve Georg Wilhelm Friedrich Hegel'dir. Bununla beraber Friedrich Heinrich Jacobi, Gottlob Ernst Schulze, Karl Leonhard Reinhold ve Friedrich Schleiermacher de bu akıma önemli katkılarda bulunmuştur.
12; Anakronizm; Anakronizm kişi, nesne veya olayların kendi gerçek zaman ve mekânlarından kopartılıp farklı bir çerçeveye oturtulması olarak değerlendirilmektedir. Anakronizm, edebiyatta kasıtlı olarak abartı, propaganda, komedi veya şok amacıyla da kullanılabilir. Bir yazar, sanatçı veya icracı, teknoloji, terminoloji ve dil, gelenek ve tutumlar ve hatta farklı tarihsel dönemler arasındaki moda farklılıklarının farkında olmadığında kasıtsız anakronizmler meydana gelebilir. Ünlü Yusuf hikâyesi'nde Mısırlı tüccarlar tarafından bulunarak kuyudan çıkarılan Yusuf, Mısır'a götürülür ve birkaç dirheme asillere satılır. Oysa dirhem, Yunanca kökenli Drahmiden türetilen ve İslam'ın çıkış yıllarında da Sasaniler tarafından kullanılan bir para birimdir. Yusuf Dönemi’nde Mısır’da resmî olarak kullanılan bir para birimi yoktur.
13; Antropozofi; Antropozofi, (Yunanca: ἄνθρωπος ánthrōpos (insan) ve σοφία sofίa (hikmet)) Rudolf Steiner tarafından kurulan fizik ötesi fenomenleri, doğa bilimlerinin fizikî dünyayı araştırdığı ve tanımladığı kesinlik ve açıklıkta araştırmayı ve tanımlamayı hedefleyen bir ezoterik bir fikir akımıdır. Steiner, yaklaşımını "bilimsel yöntemler kullanılarak yapılan ezoterik gözlemler" olarak tanımlamıştır.
14; Atomculuk; Atomculuk Okulu, maddeci filozoflar Empedokles ve Anaxagoras'ın ardından Leukippos ve onun öğrencisi Demokritos tarafından benzer bir materyalizm doğrultusunda oluşturdukları ve geliştirdikleri atom düşüncesiyle anılan felsefe okulu. Atomcu okul bir yandan Parmanides'ın monist yaklaşımına öte yandan Anaxagoras'ın çoğulcu yaklaşımına bir tür tepki olarak gelişmiştir, özellikle de birincisine karşı.Demokritos yalnızca varolanları değil ruhu da atomlardan oluşan bir şey olarak düşünerek materyalizmi ileri noktalara taşımış, felsefe tarihinde materyalizm eğilimi için en güçlü başlangıç noktalarından birini meydana getirmiştir.
15; Bahâîlik; Bahâîlik (Farsça: بهائی), bütün insanlığın ruhanî birliğini vurgulayan tek tanrılı bir dindir. Üç ana prensip Bahâî öğretileri ve itikadı için bir temel oluşturur: Tanrı birliği, yani tüm yaratılışın kaynağı olan tek bir tanrı vardır, din birliği, yani tüm ilahi dinler aynı ruhanî kaynağa sahiptirler, aynı Tanrı'dan gelirler ve insanlığın birliği, yani bütün insanlar eşit yaratılmıştır, çeşitlilik içinde birlik ile bir araya getirilmiştir, ırkların ve kültürlerin bu çeşitliliği takdire ve kabule değer görülmelidir. Bahâî inancının öğretilerine göre insanın amacı dua, tefekkür ve insanlığa hizmet yoluyla Allah'ı tanımayı ve sevmeyi öğrenmektir.
16; Basitizm; Basitizm, sadecilik (basitleştirme felsefesi). Basitizm ( kullanımda basitlik düşüncesi ) yakın akrabası olan minimalizm düşüncesine oldukça yakın olsa da minimalizm sadece sanatsal algı ve anlayışlar üzerine bir vurgu düşüncesidir. ama basitizm de kullanılabilirliğin ön planda olduğu gelenekselci algı ve mantıksallık eğitimi bir tarafa bırakılmıştır. Birçok otorite tarafından basitizm felsefesine en iyi örneklerden biri olarak Apple firmasının oluşturduğu inovatif kavramsallıkla amaca hizmet etme süresinde yabancı kavramların amaca ulaşma noktasında parazitler oluşturduğu görüşünü benimser, bu açıdan sadeceli zen felsefesinin soyutlanmacılığını içermektedir.
17; Bilişsel Devrim; Bilişsel devrim, 1950'lerde zihnin ve süreçlerinin disiplinler arası bir çalışması olarak başlayan entelektüel bir harekettir. Daha sonra toplu olarak bilişsel bilim olarak tanınmıştır[1].  İlgili etkileşim alanları psikoloji, dilbilim, bilgisayar bilimi, antropoloji, sinirbilim ve felsefe alanları arasındadır. Kullanılan yaklaşımlar, o zamanın şartlarında geliştirilen yapay zeka, bilgisayar bilimi ve sinirbilim alanlarındadı . 1960'larda, Harvard Bilişsel Araştırmalar Merkezi  ve California San Diego Üniversitesi'ndeki İnsan Bilgi İşleme Merkezi, bilişsel bilimin akademik çalışmasını geliştirmede etkili olmuştur.  1970'lerin başında, bilişsel hareket, psikolojik bir paradigma olarak davranışçılığı aşmıştı. Ayrıca, 1980'lerin başında bilişsel yaklaşım, psikoloji alanındaki çoğu dalda baskın araştırma sorgulama hattı haline gelmişti.
18; Bilişselcilik; Bilişselcilik, etik cümlelerin birer önerme olduğunu, yani doğru veya yanlış (truth-apt) olabildiklerini savunan meta-etik görüştür. Karşıtı olan gayribilişselcilik ahlaki cümlelerin önerme olamayacağını savunur. Bilişsellik ahlaki gerçekçiliği, etik öznelliği ve hata teorisini de kapsayan geniş bir tezdir. Önermeler anlamlı yargı cümlelerinin (yani soru ve emir cümleleri hariç) ifade ettiği şeydir. Farklı dillerde farklı cümleler aynı önermeyi ifade edebilir: "kar beyazdır" ve "Schnee ist weiß" (Almanca) her ikisi de karın beyaz olduğu önermesini ifade eder.
19; Darwinizm; Darwinizm veya Darwincilik, İngiliz doğa tarihçisi Charles Darwin'in canlıların doğal seçilim yoluyla geliştiğini savunan evrim kuramı. Darwinizm, tüm organizma ve türlerin varoluş sürecini, bireyin birbiriyle rekabeti, yaşamda kalma ve üreme yeteneklerini artıran küçük, kalıtsal varyasyonlarla tetiklenen "doğal seçilim"le oluştuğunu konusunda yoğunlaşmıştır. Darwinizm, türlerin var oluşunu ve yaşamın kaynağını, çeşitli şekilde anlatan diğer açıklamalar gibi, çeşitli varsayım ve ön kabullerden oluşan bir teoridir. 1859 yılında Darwin'in Türlerin Kökeni kitabının yayınlanmasından sonra, kendisinden önceki kuramlar üzerinde genel bilimsel kabul görmüştür. Ayrıca yaratılışçılar tarafından bilimsel bir yaklaşımdan ziyade bir ideolojiymişcesine kullanıldığı iddiası vardır.
20; Dataizm; Dataizm, Büyük verinin ortaya çıkan öneminin yarattığı zihniyet veya felsefeyi tanımlamak için kullanılan bir terimdir. İlk kez 2013 yılında The New York Times'da David Brooks tarafından kullanıldı.[1] Daha yakın zamanlarda bu terim, sosyal bilimci Yuval Noah Harari'nin ortaya çıkan bir ideoloji veya hatta "bilgi akışı" nın "yüce değer" olduğu yeni bir din biçimi dediği şeyi açıklayacak şekilde genişletildi.
21; Deizm; Deizm veya yaradancılık, din, peygamber veya vahiy aracı olmaksızın bireyin akıl ve gözlem yoluyla Tanrı'ya olan inancını esas alan bir felsefi görüştür. Deizm felsefesi doğal dünyaya dair gözlemler ve mantığın kaynağını oluşturduğu, dinsel bilgiye dolaysız biçimde sadece akıl yoluyla ulaşılabileceği ilkesini esas alır, bu sebeple vahiy ve esine dayalı tüm dinleri reddeder. İlk deist düşünürlerin çoğu Tanrı'nın Dünya'nın işleyişine doğrudan müdahale etmediği görüşündedir ve deist felsefe genel olarak canlılara müdahale edip onlara karışan bir tanrı inancını kabul etmemektedir. Deist felsefeye göre Tanrı vardır ve nihai olarak evrenin yaratılmasından sorumludur.
22; Diyalektik; Diyalektik kavramı, kelime kökü diyalog ve etik kurallı bir şekilde tez ve antitezin ortaya konulmasıyla belli bir konu üzerinden ortak değerlerin inşası anlamına gelir, yani tartışılmış bir şekilde tezden senteze geçmiş, farkında olunmadan tekrar tartışılmasında yine aynı soru ve olası varsayımsal cevaplara ulaşılacak kavram değerlerine verilen genel adlandırmadır. Başlangıçta tartışma sanatı ya da çelişkili yollardan muhataplarını ikna etme sanatı anlamına gelmektedir. Karşıtlıkları kullanarak gerçekleştirilen akıl yürütme biçimidir, diyalektik ve Sokratik yöntem, tartışma ve düşünme sanatı olarak diyalektiğin Antik Çağ'daki en yetkin hâlidir. Değişimin ve hareketin sürekliliği düşüncesi bu aşamada diyalektik olarak ifade edilmiştir. Bir fikirden ya da ilkeden içerdiği olumlu ve olumsuz bütün düşünceleri çıkarma yöntemine diyalektik denilmekteydi.
23; Dogmatizm; Temelde skolastik bir anlayıştır, modern çağda değişme ve gelişmeyi yadsıyan öğretileri ve anlayışları adlandırır. Zira kendi fikir ve iddiasının mutlak doğru olduğunu ileri süren her kişi veya sistem dogmatiktir. Yani bu bağlamda, belirtilen görüş, bilgi ve yargıda, eleştirilmezlik, tartışılmazlık, değişmezlik ve net kesinlik olduğu takdirde bunlara dogma denilir. Özellikle metafizik öğretilerin tümü inakçı (dogmatik) öğretilerdir. Deney alanının dışında kalan bütün savlar inakçı olmak zorundadır. Zaten bir başka deyişle dogmatizm, aklın kesin ve mutlak bir değere sahip olduğunu böylece mutlak bilgi ve varlığa (hakikate) ulaşılabileceğini ve bunun sonucu olarak da bilginin metafiziğinin mümkün olduğunu ileri süren felsefi akımdır.
24; Determinizm; Determinizm, belirlenircilik, gerekircilik veya belirlenimlilik evreninin işleyişinin, evrende gerçekleşen olayların çeşitli bilimsel yasalarla,örneğin fizik yasaları ile, belirlenmiş olduğunu ve bu belirlenmiş olayların gerçekleşmelerinin zorunlu olduğunu öne süren öğretidir. Yani öğretiye göre her şey belirlenmiştir ve değişmesi mümkün değildir. Bu görüş başta ahlak felsefesi olmak üzere felsefenin çeşitli dallarının uğraş ve çalışma alanına bir görüştür. Ahlak felsefesindeki "İnsan ahlaki eylemde bulunurken özgür müdür?" sorusunu yanıtlamaya çalışır. Günlük hayatta aldığımız kararlar, düşüncelerimiz, eylemlerimiz, ahlaki tercihlerimiz belirlenmiş ve kesin kurallar içerisindedir. Özgür irade yanılsamadır. Bize özgü sandığımız hareketlerimiz sadece bilimsel yasaların işleyişidir. İnsanın iradesi nedenler zinciri ile gelişen bir durumdur ve bu durumda insanın etkisi yoktur. Sadece nedenler ve sonuçlar vardır. Bu sebepten nedensellik ilkesi determinizmin temel taşıdır. Evrende bir düzen vardır ve nedenler-sonuçlar bu düzen içerisinde işler.
25; E-demokrasi; E-demokrasi, “demokrasi özgürlüktür” temeli üzerinden yükselen yeni bir düşünce akımı olarak “dijital demokrasi” düşüncesinin ifadesidir. Bir ülkenin vatandaşlarının o ülkedeki resmî olarak seçilebilir olan yasal siyasi partilere kendi istekleri ile açık oy vermesine izin ve olanak veren bir düşünce yapısıdır. Bu şekilde bir oylama sisteminin tamamen güvenilir olacağı öngörüsündedir.
26; Eğilim;  Yatırımcılar genellikle belirli hisse senetleri hakkında veya bir bütün olarak ekonominin yönü hakkında farklı görüşlere sahiptirler. Her işlem gününde, farklı beklentiler göz önüne alındığında çeşitli fiyatlarla alım satım yapan iyimser kişilerle ve kötümser kişiler arasındaki mücadeleye benzemektedir. Borsaya temsil ettiği şirketler hakkında var olan tüm bilgilerin bir araya getirildiği söylenir ve bu fiyat olarak kendini gösterir. İyimserler hükmettiğinde, fiyatlar yukarı doğru eğilim gösterir ve boğa piyasasında olduğumuzu söyleriz. Tam tersi olduğunda, ve fiyatlar düşüş eğilimi gösterdiğinde, ayı piyasasındayızdır.
27; Fatalizm; Fatalizm, yazgıcılık, kadercilik, tüm eylemlerin ya da olayların evrendeki yasaların boyunduruğunda olduğunu vurgulayan bir felsefi öğretidir. İslam düşüncesinde bu görüşe yakın olan akım Cebriyyedir. Fatalizm pozitivizm ve bilime atıfta bulunurken, cebriyye Tanrıya atıfta bulunur.
28; Gandizm; Gandizm, adını Mahatma Gandi'den alan, onun dünya görüşlerini tanımlamak için kullanılan ve olaylar karşısında pasifizm, pasif direniş ve sivil itaatsizlik yöntemlerinin kullanılması esasına dayanan politik akım. Büyük ölçüde Satyagraha felsefesini içerir. Mahatma Gandi, yeni bir fikir veya doktrin ortaya atmadığını belirtmiş ve fikirlerinin "Gandizm" olarak tarif edilmesini tasvip etmediğini açıklamıştır. Çünkü Gandi'ye göre ortaya attığı görüşler nihai değildir ve gelecekte bunlar değişebilir.
29; Gündelik Dil Felsefesi; Gündelik dil felsefesi (İngilizce: Ordinary language philosophy), 20. Yüzyılda ortaya çıkan bir felsefe akımıdır. Bir felsefe yapma tarzı olarak, mantıkçı pozitivizmin ideal dil anlayışını eleştiren Austin, Searle, Grice gibi filozofların çalışmalarını nitelendirmektedir. Bu filozoflara göre, gündelik hayatta kullanılan dil eksik ve kusurlu değildir, bilakis dilin gündelik kullanımını analiz ederek, dil ve insan hakkında önemli bilgilere ulaşılabilir. Gündelik dil filozofları, mantıkçı pozitivistlerin ideal dil anlayışının, doğal dillerin olağan kullanımı olan gündelik konuşma formlarını ihmâl ettiğini düşünerek bu formları temel alan bir anlam teorisi geliştirmiştir. Onlar, man¬tıkçı pozitivistlerin aksine, gündelik dilin bayağı ve göz ardı edilebilir olduğunu düşünmemektedir.
30; Hedoizm; Felsefede, hazcılık veya hedonizm, hazzın mutlak anlamda iyi olduğunu, insan eylemlerinin nihai anlamda haz sağlayacak bir biçimde planlanması gerektiğini, sürekli haz verene yönelmenin en uygun davranış biçimi olduğunu savunan felsefi görüş. Kirene Okulu'nda, Sokrates'in öğrencisi Aristippos (M.Ö. 435-355) tarafından kurulmuş, daha sonra Epikuros tarafından devam ettirilmiştir.Antik Yunanistan'da ortaya çıkan hazcılık, 19. yüzyılda ortaya çıkan İngiliz faydacılığını etkilemiştir.
31; Hegelcilik; Hegelcilik, asıl olarak Hegel sonrası Hegelcilerin özellikle onun mutlak idealizmini ve diyalektik yöntemini benimseyen ve bu yönde sistematik bir yönelim gösteren felsefe eğilimidir. 19. yüzyıl felsefesinin önemli akımlarından biri olmuştur, özellikle 19. yüzyılın ilk yarısında Almanya'nın en güçlü akımlarından biridir. Hegel felsefesinin mantıksal sistematikliği ve yöntemsel ilkelerindeki kategorik kesinlik ve kapsamlılığı bunda etkili olmuştur.

